,TRTALONE,year
211325,570,2020
211326,600,2020
211327,780,2020
211328,45,2020
211329,285,2020
211330,422,2020
211331,55,2020
211332,580,2020
211333,750,2020
211334,120,2020
211335,0,2020
211336,645,2020
211337,30,2020
211338,290,2020
211339,125,2020
211340,840,2020
211341,60,2020
211342,99,2020
211343,690,2020
211344,780,2020
211345,765,2020
211346,870,2020
211347,510,2020
211348,454,2020
211349,150,2020
211350,150,2020
211351,405,2020
211352,50,2020
211353,220,2020
211354,30,2020
211355,473,2020
211356,755,2020
211357,780,2020
211358,540,2020
211359,510,2020
211360,169,2020
211361,85,2020
211362,450,2020
211363,150,2020
211364,930,2020
211365,65,2020
211366,125,2020
211367,460,2020
211368,360,2020
211369,445,2020
211370,238,2020
211371,915,2020
211372,449,2020
211373,150,2020
211374,38,2020
211375,720,2020
211376,630,2020
211377,65,2020
211378,435,2020
211379,175,2020
211380,177,2020
211381,164,2020
211382,485,2020
211383,130,2020
211384,105,2020
211385,300,2020
211386,1030,2020
211387,30,2020
211388,145,2020
211389,415,2020
211390,595,2020
211391,586,2020
211392,305,2020
211393,0,2020
211394,690,2020
211395,95,2020
211396,325,2020
211397,725,2020
211398,840,2020
211399,900,2020
211400,155,2020
211401,118,2020
211402,160,2020
211403,735,2020
211404,680,2020
211405,175,2020
211406,565,2020
211407,271,2020
211408,171,2020
211409,30,2020
211410,600,2020
211411,455,2020
211412,380,2020
211413,470,2020
211414,7,2020
211415,120,2020
211416,90,2020
211417,663,2020
211418,585,2020
211419,0,2020
211420,165,2020
211421,290,2020
211422,125,2020
211423,825,2020
211424,288,2020
211425,320,2020
211426,490,2020
211427,440,2020
211428,475,2020
211429,210,2020
211430,50,2020
211431,345,2020
211432,340,2020
211433,450,2020
211434,90,2020
211435,14,2020
211436,160,2020
211437,425,2020
211438,565,2020
211439,360,2020
211440,165,2020
211441,326,2020
211442,150,2020
211443,235,2020
211444,415,2020
211445,410,2020
211446,160,2020
211447,94,2020
211448,303,2020
211449,990,2020
211450,370,2020
211451,0,2020
211452,540,2020
211453,345,2020
211454,338,2020
211455,150,2020
211456,690,2020
211457,5,2020
211458,220,2020
211459,190,2020
211460,359,2020
211461,150,2020
211462,277,2020
211463,138,2020
211464,528,2020
211465,285,2020
211466,870,2020
211467,810,2020
211468,650,2020
211469,705,2020
211470,872,2020
211471,1026,2020
211472,115,2020
211473,655,2020
211474,795,2020
211475,276,2020
211476,54,2020
211477,745,2020
211478,480,2020
211479,371,2020
211480,108,2020
211481,212,2020
211482,500,2020
211483,0,2020
211484,565,2020
211485,0,2020
211486,240,2020
211487,60,2020
211488,194,2020
211489,360,2020
211490,280,2020
211491,115,2020
211492,70,2020
211493,460,2020
211494,460,2020
211495,100,2020
211496,450,2020
211497,780,2020
211498,54,2020
211499,325,2020
211500,830,2020
211501,80,2020
211502,540,2020
211503,720,2020
211504,422,2020
211505,545,2020
211506,0,2020
211507,60,2020
211508,0,2020
211509,155,2020
211510,55,2020
211511,40,2020
211512,608,2020
211513,485,2020
211514,0,2020
211515,295,2020
211516,881,2020
211517,260,2020
211518,180,2020
211519,264,2020
211520,81,2020
211521,617,2020
211522,540,2020
211523,45,2020
211524,660,2020
211525,870,2020
211526,440,2020
211527,820,2020
211528,597,2020
211529,295,2020
211530,160,2020
211531,0,2020
211532,1100,2020
211533,600,2020
211534,510,2020
211535,810,2020
211536,0,2020
211537,525,2020
211538,594,2020
211539,15,2020
211540,75,2020
211541,240,2020
211542,250,2020
211543,230,2020
211544,237,2020
211545,916,2020
211546,60,2020
211547,295,2020
211548,5,2020
211549,10,2020
211550,510,2020
211551,510,2020
211552,675,2020
211553,10,2020
211554,190,2020
211555,405,2020
211556,478,2020
211557,180,2020
211558,62,2020
211559,197,2020
211560,330,2020
211561,240,2020
211562,900,2020
211563,456,2020
211564,105,2020
211565,97,2020
211566,135,2020
211567,600,2020
211568,150,2020
211569,720,2020
211570,115,2020
211571,510,2020
211572,320,2020
211573,420,2020
211574,205,2020
211575,815,2020
211576,805,2020
211577,605,2020
211578,570,2020
211579,0,2020
211580,0,2020
211581,335,2020
211582,296,2020
211583,720,2020
211584,480,2020
211585,0,2020
211586,840,2020
211587,900,2020
211588,660,2020
211589,491,2020
211590,670,2020
211591,320,2020
211592,507,2020
211593,35,2020
211594,460,2020
211595,185,2020
211596,540,2020
211597,660,2020
211598,240,2020
211599,330,2020
211600,222,2020
211601,160,2020
211602,448,2020
211603,264,2020
211604,110,2020
211605,150,2020
211606,270,2020
211607,250,2020
211608,315,2020
211609,250,2020
211610,15,2020
211611,190,2020
211612,0,2020
211613,720,2020
211614,880,2020
211615,224,2020
211616,31,2020
211617,200,2020
211618,670,2020
211619,500,2020
211620,610,2020
211621,140,2020
211622,910,2020
211623,0,2020
211624,681,2020
211625,695,2020
211626,0,2020
211627,70,2020
211628,75,2020
211629,342,2020
211630,785,2020
211631,747,2020
211632,914,2020
211633,70,2020
211634,680,2020
211635,143,2020
211636,259,2020
211637,605,2020
211638,218,2020
211639,125,2020
211640,960,2020
211641,355,2020
211642,975,2020
211643,115,2020
211644,326,2020
211645,693,2020
211646,660,2020
211647,900,2020
211648,0,2020
211649,190,2020
211650,740,2020
211651,325,2020
211652,150,2020
211653,35,2020
211654,855,2020
211655,15,2020
211656,150,2020
211657,630,2020
211658,1110,2020
211659,740,2020
211660,205,2020
211661,140,2020
211662,555,2020
211663,220,2020
211664,285,2020
211665,0,2020
211666,915,2020
211667,220,2020
211668,67,2020
211669,50,2020
211670,35,2020
211671,690,2020
211672,33,2020
211673,83,2020
211674,200,2020
211675,155,2020
211676,295,2020
211677,95,2020
211678,180,2020
211679,635,2020
211680,40,2020
211681,160,2020
211682,300,2020
211683,430,2020
211684,180,2020
211685,306,2020
211686,695,2020
211687,425,2020
211688,165,2020
211689,580,2020
211690,0,2020
211691,900,2020
211692,225,2020
211693,30,2020
211694,490,2020
211695,355,2020
211696,210,2020
211697,120,2020
211698,30,2020
211699,585,2020
211700,645,2020
211701,330,2020
211702,20,2020
211703,30,2020
211704,510,2020
211705,797,2020
211706,75,2020
211707,810,2020
211708,80,2020
211709,0,2020
211710,715,2020
211711,53,2020
211712,165,2020
211713,0,2020
211714,230,2020
211715,239,2020
211716,170,2020
211717,1060,2020
211718,871,2020
211719,0,2020
211720,0,2020
211721,385,2020
211722,400,2020
211723,750,2020
211724,590,2020
211725,300,2020
211726,130,2020
211727,215,2020
211728,124,2020
211729,300,2020
211730,238,2020
211731,420,2020
211732,82,2020
211733,175,2020
211734,15,2020
211735,514,2020
211736,608,2020
211737,120,2020
211738,187,2020
211739,650,2020
211740,888,2020
211741,260,2020
211742,380,2020
211743,540,2020
211744,980,2020
211745,720,2020
211746,405,2020
211747,290,2020
211748,245,2020
211749,390,2020
211750,690,2020
211751,480,2020
211752,750,2020
211753,655,2020
211754,390,2020
211755,305,2020
211756,210,2020
211757,110,2020
211758,396,2020
211759,165,2020
211760,0,2020
211761,153,2020
211762,306,2020
211763,690,2020
211764,225,2020
211765,168,2020
211766,690,2020
211767,105,2020
211768,780,2020
211769,495,2020
211770,124,2020
211771,70,2020
211772,0,2020
211773,660,2020
211774,240,2020
211775,30,2020
211776,665,2020
211777,336,2020
211778,835,2020
211779,821,2020
211780,150,2020
211781,483,2020
211782,80,2020
211783,270,2020
211784,35,2020
211785,1080,2020
211786,450,2020
211787,300,2020
211788,390,2020
211789,44,2020
211790,115,2020
211791,879,2020
211792,442,2020
211793,360,2020
211794,0,2020
211795,515,2020
211796,195,2020
211797,315,2020
211798,40,2020
211799,610,2020
211800,370,2020
211801,30,2020
211802,750,2020
211803,0,2020
211804,123,2020
211805,710,2020
211806,225,2020
211807,410,2020
211808,970,2020
211809,20,2020
211810,725,2020
211811,435,2020
211812,75,2020
211813,265,2020
211814,145,2020
211815,780,2020
211816,348,2020
211817,150,2020
211818,180,2020
211819,960,2020
211820,153,2020
211821,105,2020
211822,130,2020
211823,200,2020
211824,0,2020
211825,485,2020
211826,165,2020
211827,405,2020
211828,5,2020
211829,45,2020
211830,60,2020
211831,105,2020
211832,600,2020
211833,750,2020
211834,630,2020
211835,630,2020
211836,80,2020
211837,618,2020
211838,217,2020
211839,238,2020
211840,670,2020
211841,353,2020
211842,1005,2020
211843,61,2020
211844,30,2020
211845,276,2020
211846,930,2020
211847,503,2020
211848,265,2020
211849,245,2020
211850,59,2020
211851,0,2020
211852,598,2020
211853,60,2020
211854,125,2020
211855,354,2020
211856,645,2020
211857,215,2020
211858,482,2020
211859,460,2020
211860,280,2020
211861,655,2020
211862,146,2020
211863,0,2020
211864,165,2020
211865,82,2020
211866,0,2020
211867,0,2020
211868,769,2020
211869,105,2020
211870,475,2020
211871,0,2020
211872,80,2020
211873,500,2020
211874,146,2020
211875,810,2020
211876,670,2020
211877,750,2020
211878,270,2020
211879,191,2020
211880,230,2020
211881,0,2020
211882,308,2020
211883,45,2020
211884,693,2020
211885,153,2020
211886,567,2020
211887,370,2020
211888,382,2020
211889,155,2020
211890,620,2020
211891,245,2020
211892,102,2020
211893,810,2020
211894,403,2020
211895,272,2020
211896,745,2020
211897,350,2020
211898,125,2020
211899,155,2020
211900,76,2020
211901,840,2020
211902,380,2020
211903,300,2020
211904,0,2020
211905,212,2020
211906,148,2020
211907,125,2020
211908,0,2020
211909,275,2020
211910,33,2020
211911,10,2020
211912,38,2020
211913,300,2020
211914,551,2020
211915,0,2020
211916,495,2020
211917,50,2020
211918,425,2020
211919,652,2020
211920,15,2020
211921,95,2020
211922,110,2020
211923,0,2020
211924,362,2020
211925,796,2020
211926,852,2020
211927,780,2020
211928,915,2020
211929,505,2020
211930,630,2020
211931,680,2020
211932,925,2020
211933,50,2020
211934,501,2020
211935,280,2020
211936,515,2020
211937,235,2020
211938,790,2020
211939,390,2020
211940,320,2020
211941,120,2020
211942,90,2020
211943,695,2020
211944,845,2020
211945,60,2020
211946,110,2020
211947,770,2020
211948,135,2020
211949,555,2020
211950,465,2020
211951,180,2020
211952,60,2020
211953,150,2020
211954,60,2020
211955,225,2020
211956,50,2020
211957,568,2020
211958,380,2020
211959,0,2020
211960,560,2020
211961,60,2020
211962,540,2020
211963,358,2020
211964,298,2020
211965,85,2020
211966,285,2020
211967,485,2020
211968,45,2020
211969,570,2020
211970,105,2020
211971,695,2020
211972,340,2020
211973,180,2020
211974,174,2020
211975,245,2020
211976,420,2020
211977,263,2020
211978,150,2020
211979,0,2020
211980,245,2020
211981,330,2020
211982,151,2020
211983,100,2020
211984,80,2020
211985,30,2020
211986,310,2020
211987,1027,2020
211988,580,2020
211989,835,2020
211990,180,2020
211991,75,2020
211992,960,2020
211993,50,2020
211994,715,2020
211995,0,2020
211996,780,2020
211997,95,2020
